,ymd,hour,data_source,sum(total_bytes)
534,2017-09-22,17,bioconda,3277582
535,2019-05-01,3,bioconda,5983305637
536,2019-05-20,6,anaconda,1040367253345
537,2019-03-13,6,conda-forge,298194043519
538,2018-08-12,6,anaconda,331004746691
539,2018-07-26,1,anaconda,501809216343
540,2018-10-11,3,conda-forge,323674826
541,2017-09-22,12,anaconda,320087229017
542,2018-11-16,10,bioconda,7839587
543,2017-11-18,13,anaconda,191024473537
544,2019-06-04,6,pyviz,126563
545,2018-05-14,1,anaconda,370593892248
546,2017-08-09,19,bioconda,3963848
547,2018-07-08,20,bioconda,4075583
548,2018-06-14,8,pyviz,50455
549,2017-12-20,21,bioconda,5708390
550,2018-04-13,18,bioconda,12027150
551,2018-08-24,16,bioconda,20435905
552,2018-06-17,20,pyviz,28198
553,2018-12-09,16,conda-forge,147051888343
554,2018-03-20,8,anaconda,450102111000
555,2018-06-13,8,bioconda,4897726
556,2017-08-24,2,bioconda,7030405
557,2017-06-27,17,anaconda,353775820732
558,2017-06-23,4,anaconda,167053604143
559,2019-06-24,3,conda-forge,174337758633
560,2018-10-01,17,pyviz,346548
561,2019-03-13,0,conda-forge,312847013145
562,2018-05-23,4,anaconda,434424445467
563,2017-10-19,12,bioconda,7503245
564,2017-12-06,11,bioconda,5774356
565,2018-03-03,22,conda-forge,96383527
566,2019-07-05,16,pyviz,489972
567,2019-06-14,10,bioconda,8711202944
568,2019-04-13,20,bioconda,4540031
569,2018-08-02,20,anaconda,280741689801
570,2018-03-08,10,pyviz,305661
571,2019-04-05,5,anaconda,1095813743286
572,2017-05-10,2,bioconda,1009603
573,2019-01-04,15,pyviz,267143
574,2017-02-12,6,anaconda,96621509872
575,2018-11-27,23,pyviz,22938
576,2017-03-30,20,bioconda,3981748
577,2018-05-05,20,anaconda,298876938548
578,2017-09-12,12,conda-forge,84074523
579,2017-10-30,19,conda-forge,109011312
580,2018-12-05,20,pyviz,328074
581,2017-09-26,18,conda-forge,125862116
582,2017-05-16,22,bioconda,3533049
583,2019-03-03,12,bioconda,3946270
584,2018-07-05,12,conda-forge,203466710
585,2019-07-16,11,conda-forge,264527948182
586,2018-06-06,9,conda-forge,167759801
587,2019-05-14,2,pyviz,337196
588,2017-11-18,16,anaconda,269443586762
589,2019-08-28,13,anaconda,915707327188
590,2017-10-17,10,anaconda,366792531960
591,2017-06-10,0,anaconda,158856819906
592,2017-11-13,11,anaconda,302460280327
593,2018-04-05,21,anaconda,148025583634
594,2019-04-22,6,anaconda,922517807102
595,2018-10-04,5,conda-forge,255281588
596,2018-01-27,3,conda-forge,88185232
597,2019-08-12,20,conda-forge,337661471181
598,2018-05-20,19,conda-forge,83530172
599,2017-08-18,23,conda-forge,73787097
600,2018-05-08,0,conda-forge,139924163
601,2017-10-27,17,anaconda,623039418907
602,2019-03-15,18,bioconda,22520024
603,2017-11-17,22,conda-forge,120584326
604,2018-04-24,13,anaconda,655102920040
605,2019-06-22,23,conda-forge,95186209312
606,2017-06-22,20,bioconda,2830443
607,2018-06-03,10,conda-forge,59843228
608,2019-01-02,1,bioconda,26294773
609,2017-08-17,19,anaconda,468644968262
610,2019-05-04,20,anaconda,662987720275
611,2017-06-21,13,conda-forge,75973048
612,2017-12-17,16,bioconda,5394535
613,2019-04-13,13,bioconda,7497122
614,2017-09-11,11,conda-forge,77344214
615,2017-11-14,7,conda-forge,82023173
616,2018-05-03,17,conda-forge,229809184
617,2018-01-22,3,bioconda,3448351
618,2019-04-18,16,bioconda,19442974
619,2018-11-16,11,pyviz,333843
620,2018-05-16,5,bioconda,5565630
621,2018-10-02,15,bioconda,9361536
622,2018-12-23,14,anaconda,611665729849
623,2018-04-25,19,bioconda,12659560
624,2017-06-03,2,bioconda,1531852
625,2019-07-29,0,conda-forge,166399483907
626,2019-07-18,22,pyviz,218113
627,2017-11-23,13,anaconda,453407331347
628,2018-07-13,9,anaconda,608421193168
629,2019-06-05,0,conda-forge,206585363629
630,2019-06-10,18,bioconda,15649766709
631,2018-07-18,17,anaconda,1003705700591
632,2017-06-24,6,conda-forge,38799748
633,2019-04-18,19,conda-forge,344453759573
634,2019-02-24,19,bioconda,8759636
635,2018-02-11,23,conda-forge,73131673
636,2018-01-16,14,conda-forge,150469581
637,2019-03-27,14,pyviz,1006675
638,2018-11-02,23,bioconda,10369212
639,2019-03-16,11,pyviz,63986
640,2018-01-17,11,anaconda,371282693147
641,2019-02-26,13,conda-forge,283946954836
642,2018-05-29,10,anaconda,509049722345
643,2017-05-24,23,conda-forge,53977431
644,2019-07-28,4,conda-forge,108686545188
645,2018-09-19,9,anaconda,912543859878
646,2017-07-20,14,conda-forge,126921214
647,2018-12-29,7,anaconda,655270368369
648,2017-09-05,16,bioconda,3093762
649,2018-02-09,4,conda-forge,63184407
650,2019-05-09,16,conda-forge,435490313041
651,2017-09-13,14,conda-forge,110049635
652,2018-03-28,5,conda-forge,100842446
653,2018-11-13,14,bioconda,10869970
654,2017-11-12,21,conda-forge,98237107
655,2018-06-06,17,conda-forge,220118568
656,2019-02-14,20,bioconda,17883275
